rep,delta,L2_rand,L2_flip,RF_rand,RF_flip,MLP_rand,MLP_flip
0,0.0,0.849,0.849,0.832,0.832,0.86,0.86
0,0.5,0.852,0.851,0.818,0.784,0.853,0.853
0,1.0,0.847,0.842,0.8,0.746,0.848,0.84
0,2.0,0.813,0.763,0.671,0.416,0.85,0.801
1,0.0,0.861,0.861,0.833,0.833,0.861,0.861
1,0.5,0.857,0.856,0.853,0.828,0.848,0.848
1,1.0,0.848,0.844,0.823,0.788,0.845,0.839
1,2.0,0.817,0.692,0.724,0.551,0.829,0.776
2,0.0,0.903,0.903,0.871,0.871,0.898,0.898
2,0.5,0.902,0.9,0.876,0.854,0.87,0.869
2,1.0,0.895,0.87,0.883,0.825,0.894,0.874
2,2.0,0.838,0.744,0.771,0.555,0.883,0.826
3,0.0,0.898,0.898,0.858,0.858,0.902,0.902
3,0.5,0.896,0.894,0.854,0.836,0.902,0.9
3,1.0,0.899,0.887,0.854,0.809,0.911,0.905
3,2.0,0.818,0.678,0.718,0.486,0.837,0.761
4,0.0,0.886,0.886,0.882,0.882,0.881,0.881
4,0.5,0.885,0.885,0.895,0.881,0.896,0.895
4,1.0,0.9,0.899,0.899,0.853,0.87,0.851
4,2.0,0.845,0.723,0.785,0.568,0.857,0.776
