rep,majority,L2,L2_hp,EN,EN_hp,RF,RF_hp,MLP,MLP_hp
0,0.2,0.8556653904972841,1.0,0.8407248009281231,1.0,0.7480418077308443,,0.7930350050097558,"[0.001, 0.0001, 0.0, 2]"
1,0.2,0.7599558086800611,0.01,0.7574007066392449,0.1,0.7219765859832304,,0.8126514159152034,"[0.001, 0.0001, 0.5, 2]"
2,0.2,0.8129396825396826,1.0,0.8349251700680271,1.0,0.7465832199546485,,0.8660208616780046,"[0.001, 0.0001, 0.0, 3]"
3,0.2,0.7893842113589622,1.0,0.8267392290249432,0.3,0.7093015873015873,,0.8468798185941043,"[0.001, 0.0001, 0.5, 4]"
4,0.2,0.8007846648737015,0.1,0.7741480145546592,0.3,0.6821833043294837,,0.8397842113589622,"[0.0001, 0.0001, 0.0, 21]"
5,0.2,0.7254359964140695,0.01,0.7328808943732532,0.3,0.6969606285925223,,0.7828808099984179,"[0.001, 0.0001, 0.5, 4]"
6,0.2,0.7871092970521543,0.1,0.8267537414965987,1.0,0.7515238095238096,,0.8254866213151928,"[0.001, 0.0001, 0.5, 4]"
7,0.2,0.7780643990929704,0.01,0.7878503401360544,1.0,0.7360789115646258,,0.8129315192743765,"[0.001, 0.0001, 0.5, 2]"
8,0.2,0.828169783262142,0.1,0.8095475610399199,1.0,0.7515539102462692,,0.8603920054843643,"[0.001, 0.0001, 0.0, 6]"
9,0.2,0.745339851289353,1.0,0.7335031165954754,0.3,0.702878995939461,,0.7318277487739282,"[0.001, 0.0001, 0.0, 6]"
