rep,n,L2,L2_hp,EN,EN_hp,RF,RF_hp,MLP,MLP_hp
0,60,0.5265733270052207,0.001,0.6452646522174762,1.0,0.5324916943521594,,0.6028263882297105,"[0.001, 0.0001, 0.0, 4]"
0,120,0.5972935927859516,0.001,0.5829670621737068,0.1,0.617863122923588,,0.6867013025365185,"[0.001, 0.0001, 0.0, 5]"
0,240,0.7233906449401466,0.1,0.6931684227179244,1.0,0.6745524653272162,,0.748686705690028,"[0.0001, 0.0001, 0.0, 16]"
0,480,0.7946576807467173,0.01,0.8499837578442229,1.0,0.768427295259189,,0.8179982703158784,"[0.0001, 0.0001, 0.0, 37]"
1,60,0.5202486948267678,0.001,0.6608427147603227,1.0,0.5584345514950165,,0.7230359120392342,"[0.001, 0.0001, 0.0, 3]"
1,120,0.6691848336233719,0.1,0.5934712861888942,0.1,0.6060282866635026,,0.7644147655961608,"[0.001, 0.0001, 0.0, 4]"
1,240,0.7060074249854982,0.1,0.7226968517639615,0.3,0.6375548172757475,,0.7640518694299425,"[0.0001, 0.0001, 0.5, 69]"
1,480,0.7729108263460424,1.0,0.7572518694299426,0.3,0.7201171755523916,,0.7957045615145283,"[0.0001, 0.0001, 0.5, 32]"
2,60,0.6108489795918368,0.01,0.6502566893424035,0.3,0.5071428571428571,,0.7190340136054422,"[0.001, 0.0001, 0.0, 4]"
2,120,0.7008789115646258,0.01,0.7237460317460318,0.3,0.5857142857142856,,0.725101133786848,"[0.001, 0.0001, 0.0, 4]"
2,240,0.7569687074829933,0.01,0.7643909297052154,1.0,0.615404081632653,,0.7968498866213152,"[0.001, 0.0001, 0.5, 2]"
2,480,0.7826503401360545,1.0,0.7868725623582767,1.0,0.7184199546485261,,0.7948498866213152,"[0.001, 0.0001, 0.5, 4]"
3,60,0.520930612244898,0.001,0.6275836734693877,0.3,0.5318122448979591,,0.6219918367346938,"[0.001, 0.0001, 0.0, 3]"
3,120,0.632938775510204,0.01,0.681265306122449,1.0,0.5856571428571429,,0.6889469387755103,"[0.0001, 0.0001, 0.5, 34]"
3,240,0.6779609977324264,0.01,0.7084870748299321,0.3,0.6332344671201814,,0.7392281179138322,"[0.0001, 0.0001, 0.0, 22]"
3,480,0.7026648526077098,0.01,0.7472581342614566,0.3,0.7061015873015873,,0.7514503401360545,"[0.0001, 0.0001, 0.5, 25]"
4,60,0.5641588145335654,1.0,0.6432790803142963,1.0,0.4527284290460369,,0.6483528344671201,"[0.001, 0.0001, 0.0, 3]"
4,120,0.6732118757580551,0.01,0.6373607129673575,0.3,0.5684100616990982,,0.6918278331487635,"[0.0001, 0.0001, 0.0, 29]"
4,240,0.7367765859832305,0.01,0.7025480989294943,0.3,0.6140182249644044,,0.7396582186362918,"[0.0001, 0.0001, 0.5, 50]"
4,480,0.6701099193165638,0.001,0.752001160153984,1.0,0.6343529188419554,,0.812502578705901,"[0.001, 0.0001, 0.5, 3]"
