test,fresh
0.6,0.528
0.61,0.504
0.55,0.48
0.57,0.472
0.49,0.496
0.51,0.502
0.55,0.512
0.5,0.494
0.51,0.49
0.52,0.488
0.6,0.498
0.48,0.476
0.6,0.51
0.53,0.5
0.56,0.488
0.46,0.488
0.47,0.502
0.51,0.508
0.58,0.526
0.56,0.488
0.55,0.526
0.57,0.504
0.58,0.482
0.54,0.51
0.58,0.51
0.44,0.528
0.5,0.512
0.52,0.516
0.54,0.49
0.58,0.498
0.54,0.498
0.49,0.516
0.54,0.472
0.55,0.506
0.52,0.55
0.57,0.526
0.58,0.514
0.57,0.478
0.54,0.468
0.5,0.51
0.47,0.528
0.46,0.502
0.48,0.498
0.52,0.502
0.55,0.514
0.49,0.488
0.49,0.506
0.54,0.51
0.51,0.478
0.59,0.486
0.55,0.482
0.53,0.52
0.51,0.49
0.49,0.526
0.51,0.49
0.54,0.496
0.57,0.486
0.57,0.54
0.52,0.486
0.51,0.46
0.47,0.498
0.49,0.516
0.57,0.48
0.57,0.492
0.54,0.476
0.57,0.508
0.57,0.492
0.51,0.47
0.56,0.482
0.54,0.488
0.54,0.53
0.49,0.482
0.52,0.496
0.53,0.496
0.49,0.506
0.54,0.488
0.55,0.51
0.52,0.488
0.53,0.464
0.53,0.48
0.5,0.502
0.49,0.514
0.58,0.522
0.45,0.524
0.5,0.498
0.55,0.508
0.54,0.506
0.56,0.51
0.51,0.494
0.49,0.486
0.53,0.512
0.55,0.514
0.49,0.46
0.59,0.472
0.54,0.446
0.57,0.506
0.49,0.51
0.5,0.508
0.52,0.52
0.48,0.536
0.58,0.502
0.49,0.486
0.49,0.51
0.51,0.522
0.48,0.504
0.54,0.49
0.57,0.48
0.59,0.518
0.54,0.496
0.56,0.518
0.56,0.502
0.52,0.508
0.55,0.474
0.52,0.528
0.53,0.47
0.53,0.518
0.51,0.492
0.55,0.508
0.56,0.502
0.53,0.516
0.58,0.474
0.56,0.476
0.55,0.528
0.55,0.498
0.58,0.538
0.5,0.512
0.48,0.516
0.49,0.492
0.56,0.5
0.54,0.488
0.57,0.486
0.47,0.48
0.52,0.54
0.56,0.49
0.61,0.5
0.51,0.484
0.61,0.492
0.51,0.484
0.53,0.526
0.53,0.496
0.5,0.474
0.46,0.486
0.55,0.532
0.53,0.48
0.46,0.472
0.45,0.468
0.51,0.496
0.47,0.488
0.55,0.468
0.51,0.482
0.57,0.508
0.46,0.524
0.49,0.464
0.6,0.508
0.52,0.474
0.56,0.49
0.58,0.488
0.55,0.498
0.47,0.492
0.57,0.492
0.46,0.554
0.57,0.514
0.59,0.462
0.57,0.502
0.54,0.516
0.51,0.508
0.54,0.514
0.51,0.49
0.48,0.474
0.47,0.494
0.53,0.47
0.54,0.536
0.46,0.484
0.51,0.492
0.55,0.538
0.53,0.52
0.54,0.51
0.53,0.506
0.55,0.49
0.38,0.502
0.52,0.48
0.53,0.466
0.5,0.48
0.58,0.526
0.57,0.51
0.52,0.492
0.52,0.542
0.51,0.504
0.58,0.496
0.5,0.516
0.55,0.494
0.52,0.502
0.51,0.498
0.53,0.514
0.58,0.516
0.66,0.524
0.56,0.492
0.44,0.536
0.51,0.48
0.51,0.528
