truth,rep,n,bayes,L2,L2_hp,RF,RF_hp,MLP,MLP_hp
linear,0,100,0.7816,0.5702,0.001,0.5522,null,0.5444,"[0.001, 0.0001, 0.0, 4]"
linear,0,300,0.7816,0.5908,0.1,0.6316,null,0.5636,"[0.0001, 0.0001, 0.5, 26]"
linear,0,1000,0.7816,0.6628,0.1,0.6998,null,0.6432,"[0.001, 0.0001, 0.5, 3]"
linear,0,3000,0.7816,0.7296,0.001,0.731,null,0.7038,"[0.001, 0.0001, 0.5, 2]"
linear,1,100,0.7772,0.568,0.1,0.5822,null,0.5148,"[0.001, 0.0001, 0.0, 1]"
linear,1,300,0.7772,0.595,1.0,0.6346,null,0.578,"[0.001, 0.0001, 0.5, 5]"
linear,1,1000,0.7772,0.6588,0.1,0.7146,null,0.6528,"[0.001, 0.0001, 0.5, 4]"
linear,1,3000,0.7772,0.7208,0.001,0.7402,null,0.7058,"[0.0001, 0.0001, 0.5, 22]"
linear,2,100,0.7742,0.5512,0.01,0.5866,null,0.507,"[0.0001, 0.0001, 0.5, 5]"
linear,2,300,0.7742,0.5792,0.01,0.597,null,0.5674,"[0.0001, 0.0001, 0.5, 77]"
linear,2,1000,0.7742,0.6292,1.0,0.709,null,0.6204,"[0.0001, 0.0001, 0.5, 15]"
linear,2,3000,0.7742,0.7376,0.01,0.733,null,0.725,"[0.0001, 0.0001, 0.5, 23]"
interaction,0,100,0.7834,0.5306,0.001,0.5268,null,0.5202,"[0.0001, 0.0001, 0.0, 152]"
interaction,0,300,0.7834,0.5182,0.001,0.5026,null,0.5064,"[0.0001, 0.0001, 0.0, 27]"
interaction,0,1000,0.7834,0.5458,0.001,0.5382,null,0.5248,"[0.0001, 0.0001, 0.5, 6]"
interaction,0,3000,0.7834,0.5724,0.001,0.5772,null,0.5456,"[0.0001, 0.0001, 0.0, 5]"
interaction,1,100,0.7616,0.5136,0.01,0.5124,null,0.514,"[0.001, 0.0001, 0.0, 2]"
interaction,1,300,0.7616,0.5132,1.0,0.5024,null,0.5126,"[0.0001, 0.0001, 0.0, 22]"
interaction,1,1000,0.7616,0.5308,1.0,0.5564,null,0.5232,"[0.001, 0.0001, 0.5, 1]"
interaction,1,3000,0.7616,0.5646,0.001,0.5886,null,0.5608,"[0.001, 0.0001, 0.5, 1]"
interaction,2,100,0.7796,0.5074,0.01,0.5182,null,0.5038,"[0.001, 0.0001, 0.5, 2]"
interaction,2,300,0.7796,0.5468,0.1,0.5374,null,0.5298,"[0.0001, 0.0001, 0.0, 17]"
interaction,2,1000,0.7796,0.5268,0.01,0.5348,null,0.5228,"[0.0001, 0.0001, 0.0, 9]"
interaction,2,3000,0.7796,0.5716,0.01,0.5794,null,0.55,"[0.001, 0.0001, 0.0, 1]"
