rep,n_anti,conf_L2,conf_MLP,ctrl_L2,ctrl_MLP
0,259,0.8928689336414659,0.9056619346318917,0.805381313965005,0.8501155496863652
1,196,0.82,0.7780952380952381,0.8152380952380952,0.8114285714285714
2,247,0.8803418803418803,0.858974358974359,0.8739316239316239,0.8547008547008548
3,274,0.8633858267716535,0.8364173228346456,0.8224409448818897,0.8344488188976378
4,195,0.8856382978723405,0.8088905775075987,0.7933130699088147,0.6846504559270516
5,258,0.8554006968641115,0.8735528829942678,0.8876587613802405,0.8814207036079578
6,196,0.8435374149659864,0.8401360544217686,0.7891156462585034,0.7891156462585034
7,262,0.8176249753013238,0.8144635447540012,0.8591187512349339,0.8383718632681288
8,162,0.7923913043478261,0.791304347826087,0.8104037267080746,0.8436335403726709
9,270,0.8,0.7962962962962963,0.8740740740740741,0.8333333333333334
