rep,fold,L2,RF,MLP
0,0,0.34302521008403364,0.3123249299719888,0.3578711484593837
0,1,0.2837301587301587,0.2732142857142857,0.4700396825396826
0,2,0.4005952380952381,0.23908730158730157,0.4261904761904762
0,3,0.3878968253968254,0.2767857142857143,0.39424603174603173
0,4,0.35466853408029875,0.2875816993464052,0.3204248366013072
1,0,0.1947478991596639,0.21327731092436975,0.21621848739495803
1,1,0.36230158730158735,0.33095238095238094,0.3880952380952381
1,2,0.32182539682539685,0.2702380952380952,0.3906746031746032
1,3,0.5073412698412698,0.25436507936507935,0.4575396825396826
1,4,0.4124883286647993,0.38347338935574227,0.4118347338935574
2,0,0.396890756302521,0.3371428571428571,0.47550420168067226
2,1,0.3212301587301587,0.2515873015873016,0.2773809523809524
2,2,0.2579365079365079,0.24186507936507934,0.3079365079365079
2,3,0.37202380952380953,0.3720238095238095,0.2934523809523809
2,4,0.36447245564892616,0.31746031746031744,0.4325863678804855
