model,seed,knn,ari,ncl,probe,recon,epochs,cca_pca
PCA,0,0.9382613090725297,0.5624266147592009,10,0.9328219045446126,0.8301002383232117,,1.0
선형 AE,0,0.9270659590598939,0.5374543374750191,10,0.9280679937039299,0.8306766748428345,39.0,0.8118092140264285
선형 AE,1,0.9347738185494061,0.5076152668331869,11,0.93056681133853,0.830814003944397,93.0,0.9060199556569349
선형 AE,2,0.9368966388678291,0.47217324111367315,11,0.9427903214942486,0.8311570882797241,102.0,0.9036227687565379
선형 AE,3,0.9317917614354309,0.5124053579010512,12,0.9316077212755433,0.8307282328605652,64.0,0.842798820328652
선형 AE,4,0.9356835986858731,0.5276190959554707,11,0.9432383155427427,0.8308770656585693,74.0,0.9082715793892598
AE,0,0.8902198635329795,0.5079946868120039,10,0.9050339524926378,0.83488929271698,29.0,0.5614928235351274
AE,1,0.8917614354308819,0.5010015654281795,10,0.9006370569506343,0.8344239592552185,29.0,0.5869448648653738
AE,2,0.8915592620672227,0.4751856001595526,11,0.9091289300888763,0.8350897431373596,30.0,0.5731015389695484
AE,3,0.8798584786454384,0.44691945507662906,10,0.8882960246452001,0.8351081609725952,29.0,0.5522813748391588
AE,4,0.8955521859994946,0.47154167328505076,11,0.902728408701676,0.8344728946685791,29.0,0.5919995735843664
VAE,0,0.8904725802375537,0.5031209256600526,10,0.9122813090075838,0.8337180614471436,37.0,0.5887721683600045
VAE,1,0.8957796310336114,0.5397980284520915,10,0.9018490267767649,0.8332711458206177,37.0,0.585756876320785
VAE,2,0.8921657821582006,0.4360401731018039,12,0.9047083508287221,0.8335714936256409,37.0,0.6194746145061607
VAE,3,0.8942127874652515,0.43468049772158984,10,0.913617332220543,0.8339627385139465,37.0,0.6373273607341263
VAE,4,0.9015668435683599,0.4687932725256092,11,0.9242225023669107,0.8335380554199219,37.0,0.6294377687787769
