PCA_0,PCA_1,AE_s0_0,AE_s0_1,AE_s1_0,AE_s1_1,label
-1.0698545,8.580166,-0.038950153,1.6935216,0.33776176,5.776434,CD4 T cells
3.0382934,-1.9497192,9.911942,3.747197,6.57124,-0.01895214,B cells
-2.0137098,8.704552,-1.3378876,6.0757885,1.0536699,7.5369124,CD4 T cells
12.4035425,11.631932,10.500464,11.425555,11.186738,10.104423,CD14+ Monocytes
0.4353871,14.565382,-3.0311768,8.862928,-0.78123945,11.020137,NK cells
0.10099112,7.1468673,-1.9251448,2.901523,1.1668165,6.2493067,CD8 T cells
0.24423407,9.303526,-1.2171166,6.404952,-0.67140543,8.433167,CD8 T cells
-0.83108985,10.204883,-3.126576,6.1017904,-0.14156203,8.1482315,CD8 T cells
1.0046176,9.956883,-2.2307482,4.211444,-1.9744208,7.409797,CD4 T cells
12.43558,12.729745,9.611185,12.082289,10.19133,10.827671,FCGR3A+ Monocytes
2.9429495,-1.8109251,10.569905,2.9922345,6.396607,-0.00046737812,B cells
-0.06868302,5.653456,-2.6152039,3.1553445,-0.18189652,3.2085047,CD4 T cells
0.24349503,7.0837736,-2.21621,3.318864,0.8071063,6.495166,CD4 T cells
13.27111,9.212778,10.738657,11.312729,13.104065,7.0427523,CD14+ Monocytes
1.0757385,9.22942,-2.0221663,5.212779,-0.62911534,6.9009275,CD8 T cells
2.1354055,6.507978,-0.9077506,1.7830453,-0.82652724,5.523605,CD4 T cells
12.464465,9.990315,11.679871,10.847962,11.05894,9.139373,CD14+ Monocytes
-2.297531,5.910072,-1.2071362,2.238248,-0.31961894,5.426574,CD4 T cells
2.987199,-1.3310292,10.548734,2.674372,5.2034726,0.1874804,B cells
4.0841727,-1.6249819,11.631459,3.2605462,7.357739,1.124164,B cells
4.0417695,-1.6241231,11.490023,3.0247676,7.4048076,0.11732978,B cells
2.104011,5.693735,-3.0300555,1.5882366,2.0418572,3.6582575,CD4 T cells
13.153713,7.430846,13.060383,9.258462,12.96172,9.61483,CD14+ Monocytes
5.003676,-0.4245219,11.251593,3.4371192,6.071039,0.619432,B cells
2.4643412,4.698371,-1.2755002,1.0472449,-0.62462413,4.136535,CD4 T cells
-0.5723651,3.6701126,-0.10632644,0.68681365,1.8363292,5.087214,CD4 T cells
2.3385336,7.1792965,8.455916,10.352067,10.3198805,11.034316,CD4 T cells
-0.009569622,2.7782738,0.1834632,1.2920827,2.531538,4.73018,CD4 T cells
-1.871992,8.803287,-1.3008406,5.7302313,2.262672,6.1649036,CD4 T cells
11.185717,14.521547,8.287134,11.809884,11.06362,12.181127,FCGR3A+ Monocytes
1.2226329,9.106985,-0.54248434,4.4242005,-0.3858639,6.527867,CD8 T cells
5.213489,-1.9466215,10.84906,3.662174,6.006429,-1.284012,B cells
12.792459,8.864776,12.574661,11.343013,12.337719,8.107518,CD14+ Monocytes
-1.0491455,8.9276,-3.3443115,5.77158,1.6605221,7.2048793,CD4 T cells
13.617394,10.173695,10.839128,10.226843,12.005267,7.912295,CD14+ Monocytes
1.4821242,4.065691,-1.8757561,1.3686687,-1.4660202,3.1435056,CD4 T cells
13.050182,8.735105,11.900448,10.976142,12.488284,8.683413,CD14+ Monocytes
12.767035,13.138041,9.576228,12.255748,11.242797,11.292926,FCGR3A+ Monocytes
0.7210807,2.8273778,0.28403252,0.61626923,1.6901948,4.610328,CD4 T cells
-0.71510255,12.676712,-1.8253548,9.950364,-1.5949984,9.854902,CD8 T cells
-0.7080593,10.614085,-0.25860783,5.621569,-1.6472778,8.07058,CD8 T cells
-0.78228813,9.854963,-0.115635976,4.2120433,0.846961,8.432758,CD8 T cells
0.79554003,6.427933,-2.6554525,2.4741163,0.79639024,4.7084146,CD4 T cells
0.021880744,3.8937542,-3.5466037,3.6109936,2.310911,3.6951191,CD4 T cells
-0.97350675,4.4103737,-3.6700428,1.5822685,1.8907721,5.777667,CD4 T cells
-0.3029327,8.08494,-2.8720984,3.2010071,0.047314953,5.9211173,CD4 T cells
0.64182127,4.082133,-0.59337044,2.2118127,-0.108068205,3.8731744,CD4 T cells
13.426859,10.589881,11.9243145,10.279863,12.136356,8.3739,CD14+ Monocytes
0.81532174,2.6023276,0.4373837,0.6045047,-0.62214607,4.7232604,CD4 T cells
12.1369295,14.160302,9.46488,12.59905,11.162289,11.202345,FCGR3A+ Monocytes
11.82436,10.839582,10.482418,10.379114,12.685671,9.805975,CD14+ Monocytes
11.511166,14.1237955,8.794717,11.187176,10.793523,11.756312,FCGR3A+ Monocytes
12.215483,13.2032585,9.701634,12.1274805,11.779404,10.920172,FCGR3A+ Monocytes
1.5094606,4.396987,-2.017865,1.1556673,0.48457047,4.591069,CD4 T cells
-2.5894735,6.432257,-4.130815,3.675334,2.8454018,6.6969905,CD4 T cells
4.1215696,-3.0271788,9.316284,3.677266,7.046334,-1.2953533,B cells
12.542595,8.6016655,11.921299,11.566225,12.005301,7.5036297,CD14+ Monocytes
-2.796982,6.201469,-2.9017894,3.7251468,0.836439,5.687442,CD4 T cells
12.436818,9.3804455,10.942332,12.175303,11.948323,9.710291,CD14+ Monocytes
11.871018,9.567359,10.6628475,10.258427,11.63797,9.425247,CD14+ Monocytes
-0.65909445,3.7017205,-1.3762743,2.5251062,-0.88025105,4.870876,CD4 T cells
1.3709875,3.5222323,-1.7231519,0.49215528,-0.5956566,4.1106396,CD4 T cells
-0.11936409,15.435689,-2.825051,9.4683,-2.261297,12.195561,NK cells
12.937733,13.22973,9.002239,11.876756,10.337689,11.186625,FCGR3A+ Monocytes
0.25114155,6.4918942,-3.1286504,1.6194687,2.4529476,5.946261,CD4 T cells
11.975504,13.299587,8.339497,11.178332,10.156342,10.456393,FCGR3A+ Monocytes
-0.52268064,7.810726,-3.5317774,4.6101747,1.0191675,6.9438066,CD4 T cells
0.047747817,5.5636635,-0.7808663,2.1706777,0.5158399,5.1075606,CD4 T cells
0.65840745,3.1039581,-1.4278452,1.0076529,0.46861076,2.896208,CD4 T cells
-0.8984217,5.618891,-4.149634,2.8992355,-1.7326084,3.2984645,CD4 T cells
-1.0263097,6.0276475,-1.8719573,3.0402405,-0.17643604,3.2365422,CD4 T cells
1.0182024,16.29482,-2.4335117,10.893111,-1.2672511,12.56237,NK cells
-2.9864545,7.8928022,-1.2908456,4.463348,1.5972927,4.512306,CD4 T cells
0.54792506,16.062391,-3.341989,10.386173,-2.6902688,11.675652,NK cells
-2.0229352,4.8127747,0.414067,2.9222312,-1.1957258,4.3711786,CD4 T cells
3.3100371,-1.5834432,9.888592,3.3185825,6.2796845,-0.3618527,B cells
0.8773736,5.540988,0.4707908,2.5972505,1.219967,2.944716,CD4 T cells
-0.9244731,7.7850857,-2.6997485,3.5363753,2.5337992,6.7869787,CD4 T cells
-0.7253342,4.612651,-0.42851582,5.095236,0.74523276,6.831883,CD4 T cells
13.189445,8.657334,11.933107,9.513314,13.0047,7.89103,CD14+ Monocytes
12.833179,7.9431577,11.585325,9.951784,13.28784,8.269716,CD14+ Monocytes
0.21460466,10.4196825,-0.7085879,5.8706517,-0.76407576,7.5615244,CD8 T cells
12.435254,10.35932,10.579725,10.774907,11.299445,9.718026,CD14+ Monocytes
0.16721028,7.1478024,-1.4523214,3.438305,2.7035396,6.999568,CD4 T cells
13.790346,7.443758,13.231073,10.681864,14.187694,8.037005,CD14+ Monocytes
3.259929,-2.161837,10.653206,4.240242,7.193826,-0.9248799,B cells
0.80494875,5.713496,-2.6469,1.8012927,2.9126585,6.642778,CD4 T cells
2.5256214,6.330312,-2.873613,3.09045,-0.271779,3.300763,CD4 T cells
4.7263474,-3.2526193,9.782872,3.5567727,8.047107,-0.25962394,B cells
4.3469415,-3.014335,8.856706,3.668091,6.3151693,-0.25491628,B cells
0.86922437,5.5435557,-2.2787426,0.9812541,1.7008002,5.840384,CD4 T cells
13.888793,8.708885,12.054847,11.413157,13.4007635,7.3986435,CD14+ Monocytes
5.275776,-1.2960702,9.087881,3.7486465,6.3828845,0.7119209,B cells
5.5231547,-0.7152683,8.885371,4.4485407,5.281515,1.0090477,B cells
13.292992,8.980191,12.366217,10.604303,11.832778,7.1662054,CD14+ Monocytes
11.928318,7.3753786,12.447848,8.989906,12.010294,8.2109,CD14+ Monocytes
1.547747,3.942755,-1.7826197,0.8263083,1.1072757,4.356345,CD4 T cells
12.478336,8.555567,11.742316,10.900118,11.123466,8.036233,CD14+ Monocytes
14.043395,9.456311,10.832667,10.42344,12.3571615,7.3122954,CD14+ Monocytes
9.688406,7.9396544,11.191779,7.6279626,11.029636,7.420616,Dendritic cells
0.48719203,15.872891,-3.1861231,10.586728,-1.9845023,12.072007,NK cells
12.49157,9.359879,11.748295,11.242306,14.231722,9.225655,CD14+ Monocytes
-1.242017,7.0070806,-3.8139312,3.1020489,0.76363087,5.3640184,CD4 T cells
1.5971884,14.451187,-3.759662,9.1227455,-1.3374828,10.835735,CD8 T cells
1.017936,14.142478,-3.495804,9.419328,-1.9928123,10.327328,NK cells
3.0042977,-1.1352432,10.179142,2.9851289,5.231871,0.31286877,B cells
1.4563965,10.833626,-3.106974,6.1554036,-2.0600908,7.2206573,CD8 T cells
2.9551523,-1.9103011,9.775492,3.3243403,7.0255537,0.024091631,B cells
1.790015,5.214289,-1.511902,3.7150438,2.5512033,4.6827173,CD4 T cells
8.80286,7.1692963,10.707188,6.3937106,9.950958,6.3986025,Dendritic cells
13.011881,10.416097,11.345421,11.898046,12.190507,10.050875,CD14+ Monocytes
-0.24997,7.6972303,-1.3220701,4.581163,3.2517676,4.403721,CD4 T cells
1.5935413,7.8445024,-2.9093604,5.2964826,0.5725312,7.0226283,CD4 T cells
-0.23842467,9.216966,-2.3749514,5.476758,-0.45587915,6.822529,CD4 T cells
14.228924,8.8934,12.263807,11.8910055,14.09137,8.774193,CD14+ Monocytes
12.533736,12.511537,9.137274,11.097425,10.47252,9.9389,FCGR3A+ Monocytes
0.6955715,2.8000438,0.8011509,1.6166499,0.1707167,2.893194,CD4 T cells
4.660357,-1.3189497,11.033666,4.374101,6.578443,-0.72131205,B cells
12.374272,13.007101,9.233177,11.639278,10.979667,10.365181,FCGR3A+ Monocytes
-1.0515311,3.6905172,-3.4019303,4.0766754,-1.0444535,2.9913175,CD4 T cells
0.56931084,12.551756,-3.0575159,7.8972826,-0.4856587,9.793644,CD8 T cells
13.793716,7.635657,13.166878,10.119347,13.892086,6.958491,CD14+ Monocytes
4.240474,-0.5428824,9.987948,3.9074435,6.7990313,1.2217008,B cells
-1.2547828,11.661763,-0.7011933,6.4931717,-1.1305027,8.02837,CD8 T cells
-1.893476,5.552382,1.001049,2.1052377,0.43385908,5.2642393,CD4 T cells
2.4764538,6.6655717,-0.89652234,2.5149477,2.7749262,3.7298303,CD4 T cells
12.542227,10.771829,11.180893,11.4432745,11.827348,9.404162,CD14+ Monocytes
4.4793262,-1.354149,10.710754,5.438275,6.872102,-1.1824696,B cells
0.31989104,16.444082,-3.7881014,9.805113,-2.4930873,11.547068,NK cells
-0.7837351,3.4503675,0.15295857,1.9591749,-0.3861326,5.0885897,CD4 T cells
-0.4950957,5.416463,-1.9653807,1.6715863,1.5961117,4.255577,CD4 T cells
0.23095751,2.4525642,-0.47477937,1.7000432,1.0462817,2.7234375,CD4 T cells
-0.9728475,3.0047405,0.026794188,0.30524218,-0.88351625,3.358216,CD4 T cells
1.065423,11.094046,-2.942451,6.7752995,-1.4885572,8.977871,CD8 T cells
4.1737084,-2.765139,11.339772,5.413738,5.792553,-1.1054852,B cells
12.7612915,12.12194,9.3884945,12.043442,11.545901,10.751993,CD14+ Monocytes
-2.303501,4.351167,0.27776173,2.407956,-1.339499,6.8302617,CD4 T cells
