seed,n,model,acc
0,100,정답 PWM 스캔,0.808
0,100,CNN,0.4645
0,100,MLP,0.4965
0,100,one-hot 로지스틱,0.497
0,100,6-mer 로지스틱,0.626
0,300,정답 PWM 스캔,0.808
0,300,CNN,0.733
0,300,MLP,0.4855
0,300,one-hot 로지스틱,0.5025
0,300,6-mer 로지스틱,0.6975
0,1000,정답 PWM 스캔,0.808
0,1000,CNN,0.787
0,1000,MLP,0.492
0,1000,one-hot 로지스틱,0.5055
0,1000,6-mer 로지스틱,0.7365
0,3000,정답 PWM 스캔,0.808
0,3000,CNN,0.7985
0,3000,MLP,0.4915
0,3000,one-hot 로지스틱,0.514
0,3000,6-mer 로지스틱,0.7575
0,10000,정답 PWM 스캔,0.808
0,10000,CNN,0.7975
0,10000,MLP,0.4995
0,10000,one-hot 로지스틱,0.5015
0,10000,6-mer 로지스틱,0.7585
1,100,정답 PWM 스캔,0.8145
1,100,CNN,0.4995
1,100,MLP,0.49
1,100,one-hot 로지스틱,0.492
1,100,6-mer 로지스틱,0.638
1,300,정답 PWM 스캔,0.8145
1,300,CNN,0.763
1,300,MLP,0.502
1,300,one-hot 로지스틱,0.505
1,300,6-mer 로지스틱,0.7005
1,1000,정답 PWM 스캔,0.8145
1,1000,CNN,0.7895
1,1000,MLP,0.4895
1,1000,one-hot 로지스틱,0.486
1,1000,6-mer 로지스틱,0.7375
1,3000,정답 PWM 스캔,0.8145
1,3000,CNN,0.801
1,3000,MLP,0.4985
1,3000,one-hot 로지스틱,0.4945
1,3000,6-mer 로지스틱,0.7545
1,10000,정답 PWM 스캔,0.8145
1,10000,CNN,0.803
1,10000,MLP,0.4895
1,10000,one-hot 로지스틱,0.4935
1,10000,6-mer 로지스틱,0.76
2,100,정답 PWM 스캔,0.8205
2,100,CNN,0.5875
2,100,MLP,0.4805
2,100,one-hot 로지스틱,0.491
2,100,6-mer 로지스틱,0.666
2,300,정답 PWM 스캔,0.8205
2,300,CNN,0.762
2,300,MLP,0.4965
2,300,one-hot 로지스틱,0.5085
2,300,6-mer 로지스틱,0.7255
2,1000,정답 PWM 스캔,0.8205
2,1000,CNN,0.8035
2,1000,MLP,0.4845
2,1000,one-hot 로지스틱,0.499
2,1000,6-mer 로지스틱,0.7165
2,3000,정답 PWM 스캔,0.8205
2,3000,CNN,0.8045
2,3000,MLP,0.503
2,3000,one-hot 로지스틱,0.492
2,3000,6-mer 로지스틱,0.7655
2,10000,정답 PWM 스캔,0.8205
2,10000,CNN,0.816
2,10000,MLP,0.4985
2,10000,one-hot 로지스틱,0.509
2,10000,6-mer 로지스틱,0.7625
