seed,model,test,acc
0,정답 PWM 스캔,다른 위치 (150),0.8375
0,CNN,다른 위치 (150),0.8175
0,MLP,다른 위치 (150),0.4975
0,one-hot 로지스틱,다른 위치 (150),0.4965
0,6-mer 로지스틱,다른 위치 (150),0.775
0,정답 PWM 스캔,같은 위치 (50),0.8195
0,CNN,같은 위치 (50),0.809
0,MLP,같은 위치 (50),0.961
0,one-hot 로지스틱,같은 위치 (50),0.964
0,6-mer 로지스틱,같은 위치 (50),0.76
1,정답 PWM 스캔,다른 위치 (150),0.821
1,CNN,다른 위치 (150),0.8235
1,MLP,다른 위치 (150),0.5095
1,one-hot 로지스틱,다른 위치 (150),0.502
1,6-mer 로지스틱,다른 위치 (150),0.7665
1,정답 PWM 스캔,같은 위치 (50),0.8
1,CNN,같은 위치 (50),0.805
1,MLP,같은 위치 (50),0.945
1,one-hot 로지스틱,같은 위치 (50),0.964
1,6-mer 로지스틱,같은 위치 (50),0.748
2,정답 PWM 스캔,다른 위치 (150),0.8335
2,CNN,다른 위치 (150),0.832
2,MLP,다른 위치 (150),0.497
2,one-hot 로지스틱,다른 위치 (150),0.5005
2,6-mer 로지스틱,다른 위치 (150),0.7565
2,정답 PWM 스캔,같은 위치 (50),0.811
2,CNN,같은 위치 (50),0.8075
2,MLP,같은 위치 (50),0.959
2,one-hot 로지스틱,같은 위치 (50),0.9715
2,6-mer 로지스틱,같은 위치 (50),0.7785
