p_out,method,seed,ari
0.01,Leiden,0,0.9899894655446704
0.01,Leiden,1,0.9849999878035282
0.01,Leiden,2,0.9850006226529789
0.01,Leiden,3,0.9800425113863193
0.01,Leiden,4,0.9849999878035282
0.01,스펙트럴,0,0.980011356082812
0.01,NetMF,0,0.9849687269302024
0.01,DeepWalk,0,0.975022089512645
0.01,DeepWalk,1,0.9800416666666667
0.01,DeepWalk,2,0.9850006226529789
0.01,DeepWalk,3,0.9751484000587252
0.01,DeepWalk,4,0.9751484000587252
0.01,node2vec q=0.5,0,0.975116295842436
0.01,node2vec q=0.5,1,0.9652021809335233
0.01,node2vec q=0.5,2,0.9701913419249056
0.01,node2vec q=0.5,3,0.9652021809335233
0.01,node2vec q=0.5,4,0.975116295842436
0.01,node2vec q=2,0,0.9603069108943044
0.01,node2vec q=2,1,0.975116295842436
0.01,node2vec q=2,2,0.9652330221914313
0.01,node2vec q=2,3,0.9701269236890158
0.01,node2vec q=2,4,0.9751484000587252
0.018,Leiden,0,0.8638176714728585
0.018,Leiden,1,0.8828067955871185
0.018,Leiden,2,0.8551842943714595
0.018,Leiden,3,0.8779854079083412
0.018,Leiden,4,0.8462263085063246
0.018,스펙트럴,0,0.8191118339060434
0.018,NetMF,0,0.8227359095155266
0.018,DeepWalk,0,0.846460595965073
0.018,DeepWalk,1,0.8459236009782336
0.018,DeepWalk,2,0.8320681983199428
0.018,DeepWalk,3,0.8016600757047089
0.018,DeepWalk,4,0.823093936866392
0.018,node2vec q=0.5,0,0.8467182427983856
0.018,node2vec q=0.5,1,0.8409504782843142
0.018,node2vec q=0.5,2,0.8327411710634781
0.018,node2vec q=0.5,3,0.8056885162742077
0.018,node2vec q=0.5,4,0.8273144590193069
0.018,node2vec q=2,0,0.8233044057980402
0.018,node2vec q=2,1,0.8409559169627678
0.018,node2vec q=2,2,0.8230874320986435
0.018,node2vec q=2,3,0.837173669291156
0.018,node2vec q=2,4,0.8052003614843952
0.026,Leiden,0,0.4078748620067349
0.026,Leiden,1,0.4408946369645567
0.026,Leiden,2,0.46203367519729066
0.026,Leiden,3,0.7023806887125122
0.026,Leiden,4,0.6480348663302289
0.026,스펙트럴,0,0.6590839309885115
0.026,NetMF,0,0.6978059445225929
0.026,DeepWalk,0,0.6235416898886897
0.026,DeepWalk,1,0.5624557138813766
0.026,DeepWalk,2,0.5662582745655556
0.026,DeepWalk,3,0.5853507007205064
0.026,DeepWalk,4,0.4001815862291287
0.026,node2vec q=0.5,0,0.6236882383767846
0.026,node2vec q=0.5,1,0.6588596205357922
0.026,node2vec q=0.5,2,0.6685889245033234
0.026,node2vec q=0.5,3,0.43970925096501506
0.026,node2vec q=0.5,4,0.5967944929478449
0.026,node2vec q=2,0,0.49082480974184944
0.026,node2vec q=2,1,0.6866194460634679
0.026,node2vec q=2,2,0.6009097172691297
0.026,node2vec q=2,3,0.5389295771173314
0.026,node2vec q=2,4,0.5948991801736653
