q,t,hop,hop_sd
0.25,1,1.0,0.0
0.25,2,1.5966666666666667,0.6175129328380274
0.25,3,1.9976666666666667,0.8826066822518145
0.25,4,2.3493333333333335,1.1189129645429183
0.25,5,2.661,1.2720373422191662
0.25,6,2.892333333333333,1.4264435573208714
0.25,7,3.103666666666667,1.561490705134751
0.25,8,3.313,1.660230204921394
0.25,9,3.5046666666666666,1.781940390573028
0.25,10,3.664,1.8823134701744022
0.25,11,3.8233333333333333,1.9368674594704605
0.25,12,3.9976666666666665,2.020477143866985
0.25,13,4.143,2.1143677541998223
0.25,14,4.2843333333333335,2.205331695888147
0.25,15,4.397,2.2658459053224838
0.25,16,4.522333333333333,2.3372707493047433
0.25,17,4.628333333333333,2.3940615187491643
0.25,18,4.714,2.4572757273045287
0.25,19,4.828,2.519341712961278
0.25,20,4.94,2.565748753613001
0.5,1,1.0,0.0
0.5,2,1.43,0.6751049301158055
0.5,3,1.7306666666666666,0.8610804582357885
0.5,4,1.986,1.0439367796950159
0.5,5,2.2373333333333334,1.1830777188709494
0.5,6,2.421333333333333,1.3318451695131666
0.5,7,2.5906666666666665,1.4472201706106165
0.5,8,2.7783333333333333,1.517409158913823
0.5,9,2.924,1.603815450729915
0.5,10,3.0686666666666667,1.6520547475458822
0.5,11,3.1863333333333332,1.7201588750913548
0.5,12,3.309,1.7737490427528542
0.5,13,3.425,1.8696813453990853
0.5,14,3.5403333333333333,1.9429461878520693
0.5,15,3.662,1.9865605117052607
0.5,16,3.7426666666666666,2.0468951012583805
0.5,17,3.8526666666666665,2.0937111124083527
0.5,18,3.943,2.169427958395177
0.5,19,4.037,2.2109494943726475
0.5,20,4.140666666666666,2.2423676970757693
1.0,1,1.0,0.0
1.0,2,1.255,0.6889424262350714
1.0,3,1.4843333333333333,0.7939906940400638
1.0,4,1.677,0.9309516636216941
1.0,5,1.861,1.0511956684334907
1.0,6,1.9866666666666666,1.1333529410068555
1.0,7,2.1346666666666665,1.2320165944048356
1.0,8,2.2663333333333333,1.3092236461183995
1.0,9,2.406,1.386060604735594
1.0,10,2.5153333333333334,1.4328636439739206
1.0,11,2.6086666666666667,1.4711191506997505
1.0,12,2.7343333333333333,1.5175927941608345
1.0,13,2.8186666666666667,1.5911583481504563
1.0,14,2.904,1.6328249548966765
1.0,15,2.988,1.6622843719813205
1.0,16,3.0886666666666667,1.6988638033174472
1.0,17,3.1656666666666666,1.7211104619466533
1.0,18,3.2426666666666666,1.7594827522756669
1.0,19,3.333,1.8177213757889297
1.0,20,3.395,1.8512090643684738
2.0,1,1.0,0.0
2.0,2,1.0846666666666667,0.6674565320844664
2.0,3,1.27,0.7059981114233473
2.0,4,1.4273333333333333,0.8112045912646753
2.0,5,1.5396666666666667,0.8913060953205446
2.0,6,1.6366666666666667,0.970217615910071
2.0,7,1.7453333333333334,1.0262284779175097
2.0,8,1.862,1.0833386666535385
2.0,9,1.9486666666666668,1.1410659733580508
2.0,10,2.0343333333333335,1.187358927292932
2.0,11,2.135666666666667,1.2430853640125532
2.0,12,2.195,1.2934353482103387
2.0,13,2.2723333333333335,1.3387187489868395
2.0,14,2.3373333333333335,1.362915828492558
2.0,15,2.418,1.4082883227521275
2.0,16,2.4753333333333334,1.4329659994415622
2.0,17,2.5473333333333334,1.487870812791069
2.0,18,2.6056666666666666,1.5208006297853625
2.0,19,2.662333333333333,1.561937223094734
2.0,20,2.704,1.599078067721106
4.0,1,1.0,0.0
4.0,2,0.946,0.6118965054102967
4.0,3,1.137,0.6177089390103832
4.0,4,1.2316666666666667,0.7033234596463344
4.0,5,1.331,0.768617156543707
4.0,6,1.3966666666666667,0.8123970020186491
4.0,7,1.4686666666666666,0.8455875012216193
4.0,8,1.5546666666666666,0.9159757396108019
4.0,9,1.605,0.9375366659496577
4.0,10,1.6856666666666666,1.0212057687959966
4.0,11,1.7426666666666666,1.0487037501389778
4.0,12,1.7816666666666667,1.0692663632395605
4.0,13,1.8456666666666666,1.1029571866376118
4.0,14,1.8926666666666667,1.151149956444521
4.0,15,1.953,1.1874865613274674
4.0,16,2.001333333333333,1.2013873461775582
4.0,17,2.050333333333333,1.2427656881148414
4.0,18,2.075,1.2680858277997853
4.0,19,2.1373333333333333,1.288075912186683
4.0,20,2.171333333333333,1.3152863651016165
