split,seed,model,acc
public,0,로지스틱 (특징만),0.605
public,0,MLP (특징만),0.5870000123977661
public,0,레이블 전파 (그래프만),0.7089999914169312
public,0,특징 전파 + 로지스틱,0.805
public,0,GCN,0.8169999718666077
public,0,GraphSAGE,0.8149999976158142
public,0,GAT,0.8330000042915344
random,0,로지스틱 (특징만),0.61
random,0,MLP (특징만),0.5929999947547913
random,0,레이블 전파 (그래프만),0.7139999866485596
random,0,특징 전파 + 로지스틱,0.793
random,0,GCN,0.8190000057220459
random,0,GraphSAGE,0.7730000019073486
random,0,GAT,0.8169999718666077
public,1,로지스틱 (특징만),0.605
public,1,MLP (특징만),0.5849999785423279
public,1,레이블 전파 (그래프만),0.7089999914169312
public,1,특징 전파 + 로지스틱,0.805
public,1,GCN,0.8230000138282776
public,1,GraphSAGE,0.8090000152587891
public,1,GAT,0.8230000138282776
random,1,로지스틱 (특징만),0.585
random,1,MLP (특징만),0.5709999799728394
random,1,레이블 전파 (그래프만),0.6570000052452087
random,1,특징 전파 + 로지스틱,0.819
random,1,GCN,0.8259999752044678
random,1,GraphSAGE,0.7889999747276306
random,1,GAT,0.7929999828338623
public,2,로지스틱 (특징만),0.605
public,2,MLP (특징만),0.5690000057220459
public,2,레이블 전파 (그래프만),0.7089999914169312
public,2,특징 전파 + 로지스틱,0.805
public,2,GCN,0.8320000171661377
public,2,GraphSAGE,0.8029999732971191
public,2,GAT,0.8339999914169312
random,2,로지스틱 (특징만),0.564
random,2,MLP (특징만),0.5699999928474426
random,2,레이블 전파 (그래프만),0.7269999980926514
random,2,특징 전파 + 로지스틱,0.801
random,2,GCN,0.8289999961853027
random,2,GraphSAGE,0.8009999990463257
random,2,GAT,0.8370000123977661
public,3,로지스틱 (특징만),0.605
public,3,MLP (특징만),0.5899999737739563
public,3,레이블 전파 (그래프만),0.7089999914169312
public,3,특징 전파 + 로지스틱,0.805
public,3,GCN,0.8230000138282776
public,3,GraphSAGE,0.8190000057220459
