frac,seed,homophily,model,acc
0.0,0,0.8099659085273743,GCN,0.8169999718666077
0.0,0,0.8099659085273743,GraphSAGE,0.8149999976158142
0.0,0,0.8099659085273743,MLP,0.5870000123977661
0.0,1,0.8099659085273743,GCN,0.8230000138282776
0.0,1,0.8099659085273743,GraphSAGE,0.8090000152587891
0.0,1,0.8099659085273743,MLP,0.5849999785423279
0.0,2,0.8099659085273743,GCN,0.8320000171661377
0.0,2,0.8099659085273743,GraphSAGE,0.8029999732971191
0.0,2,0.8099659085273743,MLP,0.5690000057220459
0.0,3,0.8099659085273743,GCN,0.8230000138282776
0.0,3,0.8099659085273743,GraphSAGE,0.8190000057220459
0.0,3,0.8099659085273743,MLP,0.5899999737739563
0.0,4,0.8099659085273743,GCN,0.8149999976158142
0.0,4,0.8099659085273743,GraphSAGE,0.8040000200271606
0.0,4,0.8099659085273743,MLP,0.5879999995231628
0.2,0,0.6449412703514099,GCN,0.7039999961853027
0.2,0,0.6449412703514099,GraphSAGE,0.7080000042915344
0.2,0,0.6449412703514099,MLP,0.5870000123977661
0.2,1,0.6449412703514099,GCN,0.7099999785423279
0.2,1,0.6449412703514099,GraphSAGE,0.7110000252723694
0.2,1,0.6449412703514099,MLP,0.5849999785423279
0.2,2,0.6438044905662537,GCN,0.7179999947547913
0.2,2,0.6438044905662537,GraphSAGE,0.7009999752044678
0.2,2,0.6438044905662537,MLP,0.5690000057220459
0.2,3,0.6472148299217224,GCN,0.7099999785423279
0.2,3,0.6472148299217224,GraphSAGE,0.7179999947547913
0.2,3,0.6472148299217224,MLP,0.5899999737739563
0.2,4,0.657067060470581,GCN,0.7319999933242798
0.2,4,0.657067060470581,GraphSAGE,0.6959999799728394
0.2,4,0.657067060470581,MLP,0.5879999995231628
0.4,0,0.4852216839790344,GCN,0.5550000071525574
0.4,0,0.4852216839790344,GraphSAGE,0.5720000267028809
0.4,0,0.4852216839790344,MLP,0.5870000123977661
0.4,1,0.4780219793319702,GCN,0.5699999928474426
0.4,1,0.4780219793319702,GraphSAGE,0.5799999833106995
0.4,1,0.4780219793319702,MLP,0.5849999785423279
0.4,2,0.47783252596855164,GCN,0.5839999914169312
0.4,2,0.47783252596855164,GraphSAGE,0.5690000057220459
0.4,2,0.47783252596855164,MLP,0.5690000057220459
0.4,3,0.48597952723503113,GCN,0.5690000057220459
0.4,3,0.48597952723503113,GraphSAGE,0.5839999914169312
0.4,3,0.48597952723503113,MLP,0.5899999737739563
0.4,4,0.5005683898925781,GCN,0.609000027179718
0.4,4,0.5005683898925781,GraphSAGE,0.6000000238418579
0.4,4,0.5005683898925781,MLP,0.5879999995231628
0.6,0,0.3164077401161194,GCN,0.41100001335144043
0.6,0,0.3164077401161194,GraphSAGE,0.4880000054836273
0.6,0,0.3164077401161194,MLP,0.5870000123977661
0.6,1,0.3164077401161194,GCN,0.4129999876022339
0.6,1,0.3164077401161194,GraphSAGE,0.4880000054836273
0.6,1,0.3164077401161194,MLP,0.5849999785423279
0.6,2,0.31678664684295654,GCN,0.4449999928474426
0.6,2,0.31678664684295654,GraphSAGE,0.49300000071525574
0.6,2,0.31678664684295654,MLP,0.5690000057220459
0.6,3,0.3184918463230133,GCN,0.4180000126361847
0.6,3,0.3184918463230133,GraphSAGE,0.47600001096725464
0.6,3,0.3184918463230133,MLP,0.5899999737739563
0.6,4,0.33421751856803894,GCN,0.4429999887943268
0.6,4,0.33421751856803894,GraphSAGE,0.515999972820282
0.6,4,0.33421751856803894,MLP,0.5879999995231628
0.8,0,0.14986737072467804,GCN,0.29499998688697815
0.8,0,0.14986737072467804,GraphSAGE,0.4819999933242798
0.8,0,0.14986737072467804,MLP,0.5870000123977661
0.8,1,0.16294050216674805,GCN,0.3310000002384186
0.8,1,0.16294050216674805,GraphSAGE,0.44600000977516174
0.8,1,0.16294050216674805,MLP,0.5849999785423279
0.8,2,0.1515725702047348,GCN,0.31700000166893005
0.8,2,0.1515725702047348,GraphSAGE,0.4390000104904175
0.8,2,0.1515725702047348,MLP,0.5690000057220459
0.8,3,0.1602879911661148,GCN,0.29899999499320984
0.8,3,0.1602879911661148,GraphSAGE,0.42399999499320984
0.8,3,0.1602879911661148,MLP,0.5899999737739563
0.8,4,0.16445623338222504,GCN,0.3240000009536743
0.8,4,0.16445623338222504,GraphSAGE,0.47099998593330383
0.8,4,0.16445623338222504,MLP,0.5879999995231628
1.0,0,0.0,GCN,0.3100000023841858
1.0,0,0.0,GraphSAGE,0.5339999794960022
1.0,0,0.0,MLP,0.5870000123977661
1.0,1,0.0,GCN,0.2630000114440918
1.0,1,0.0,GraphSAGE,0.5019999742507935
1.0,1,0.0,MLP,0.5849999785423279
1.0,2,0.0,GCN,0.24199999868869781
1.0,2,0.0,GraphSAGE,0.4740000069141388
1.0,2,0.0,MLP,0.5690000057220459
1.0,3,0.0,GCN,0.2460000067949295
1.0,3,0.0,GraphSAGE,0.39800000190734863
1.0,3,0.0,MLP,0.5899999737739563
1.0,4,0.0,GCN,0.24199999868869781
1.0,4,0.0,GraphSAGE,0.4869999885559082
1.0,4,0.0,MLP,0.5879999995231628
