layers,seed,acc,dist
1,0,0.7870000004768372,
1,1,0.7789999842643738,
1,2,0.777999997138977,
1,3,0.7749999761581421,
1,4,0.7789999842643738,
2,0,0.8339999914169312,0.2194749116897583
2,1,0.8230000138282776,0.2034693956375122
2,2,0.8190000057220459,0.20634984970092773
2,3,0.828000009059906,0.2088989019393921
2,4,0.8149999976158142,0.22244465351104736
4,0,0.7889999747276306,0.3691796660423279
4,1,0.7789999842643738,0.38229960203170776
4,2,0.781000018119812,0.38195520639419556
4,3,0.7440000176429749,0.40722984075546265
4,4,0.800000011920929,0.3876676559448242
8,0,0.17800000309944153,0.043089091777801514
8,1,0.5090000033378601,0.4611086845397949
8,2,0.1940000057220459,0.011728942394256592
8,3,0.6119999885559082,0.4804035425186157
8,4,0.20100000500679016,0.07652872800827026
16,0,0.2160000056028366,0.09017664194107056
16,1,0.22200000286102295,0.08233189582824707
16,2,0.2070000022649765,0.025626838207244873
16,3,0.2529999911785126,0.011174440383911133
16,4,0.24400000274181366,0.08953714370727539
