labels,k,frac,seed,model,n_train,bacc
세포유형,5,0.01,0,로지스틱 회귀 (PCA만),28,0.7473385091932516
세포유형,5,0.01,0,레이블 전파 (그래프만),28,0.9052085069145211
세포유형,5,0.01,0,GCN (PCA + 그래프),28,0.9046950791753168
세포유형,5,0.01,1,로지스틱 회귀 (PCA만),28,0.7692776613984389
세포유형,5,0.01,1,레이블 전파 (그래프만),28,0.9032213412182362
세포유형,5,0.01,1,GCN (PCA + 그래프),28,0.928448728232088
세포유형,5,0.01,2,로지스틱 회귀 (PCA만),28,0.6712526176805447
세포유형,5,0.01,2,레이블 전파 (그래프만),28,0.8400244135343344
세포유형,5,0.01,2,GCN (PCA + 그래프),28,0.876450171290549
세포유형,5,0.01,3,로지스틱 회귀 (PCA만),28,0.8230030563549386
세포유형,5,0.01,3,레이블 전파 (그래프만),28,0.8942319671936324
세포유형,5,0.01,3,GCN (PCA + 그래프),28,0.9005299592727956
세포유형,5,0.01,4,로지스틱 회귀 (PCA만),28,0.7720212829790709
세포유형,5,0.01,4,레이블 전파 (그래프만),28,0.8962193248655854
세포유형,5,0.01,4,GCN (PCA + 그래프),28,0.9069732914339448
세포유형,5,0.05,0,로지스틱 회귀 (PCA만),133,0.8555838835446927
세포유형,5,0.05,0,레이블 전파 (그래프만),133,0.8998786401340806
세포유형,5,0.05,0,GCN (PCA + 그래프),133,0.937102331613346
세포유형,5,0.05,1,로지스틱 회귀 (PCA만),133,0.802890574036735
세포유형,5,0.05,1,레이블 전파 (그래프만),133,0.8968837178729838
세포유형,5,0.05,1,GCN (PCA + 그래프),133,0.9183939169876528
세포유형,5,0.05,2,로지스틱 회귀 (PCA만),133,0.8346314144751644
세포유형,5,0.05,2,레이블 전파 (그래프만),133,0.8856004703287312
세포유형,5,0.05,2,GCN (PCA + 그래프),133,0.8681379856311922
세포유형,5,0.05,3,로지스틱 회귀 (PCA만),133,0.8184465937608445
세포유형,5,0.05,3,레이블 전파 (그래프만),133,0.8938424994519667
세포유형,5,0.05,3,GCN (PCA + 그래프),133,0.9182560631774468
세포유형,5,0.05,4,로지스틱 회귀 (PCA만),133,0.8777951403162979
세포유형,5,0.05,4,레이블 전파 (그래프만),133,0.91036188638632
세포유형,5,0.05,4,GCN (PCA + 그래프),133,0.9510115685997368
세포유형,5,0.2,0,로지스틱 회귀 (PCA만),527,0.9121499802183136
세포유형,5,0.2,0,레이블 전파 (그래프만),527,0.926293292270566
세포유형,5,0.2,0,GCN (PCA + 그래프),527,0.9564150304445924
세포유형,5,0.2,1,로지스틱 회귀 (PCA만),527,0.8709478807961798
세포유형,5,0.2,1,레이블 전파 (그래프만),527,0.8974696625555834
세포유형,5,0.2,1,GCN (PCA + 그래프),527,0.94199661153611
세포유형,5,0.2,2,로지스틱 회귀 (PCA만),527,0.8767890653249635
세포유형,5,0.2,2,레이블 전파 (그래프만),527,0.890527748967745
세포유형,5,0.2,2,GCN (PCA + 그래프),527,0.93139199622221
세포유형,5,0.2,3,로지스틱 회귀 (PCA만),527,0.8760294089286258
세포유형,5,0.2,3,레이블 전파 (그래프만),527,0.89726423908125
세포유형,5,0.2,3,GCN (PCA + 그래프),527,0.9303298476218372
세포유형,5,0.2,4,로지스틱 회귀 (PCA만),527,0.9041959404675698
세포유형,5,0.2,4,레이블 전파 (그래프만),527,0.9189658606368464
세포유형,5,0.2,4,GCN (PCA + 그래프),527,0.9510293190440424
세포유형,15,0.01,0,로지스틱 회귀 (PCA만),28,0.7473385091932516
세포유형,15,0.01,0,레이블 전파 (그래프만),28,0.8754059152450522
세포유형,15,0.01,0,GCN (PCA + 그래프),28,0.9413950015118387
세포유형,15,0.01,1,로지스틱 회귀 (PCA만),28,0.7692776613984389
세포유형,15,0.01,1,레이블 전파 (그래프만),28,0.9187990299756184
세포유형,15,0.01,1,GCN (PCA + 그래프),28,0.9553738129094348
세포유형,15,0.01,2,로지스틱 회귀 (PCA만),28,0.6712526176805447
세포유형,15,0.01,2,레이블 전파 (그래프만),28,0.8685230808209232
세포유형,15,0.01,2,GCN (PCA + 그래프),28,0.9148489383830644
세포유형,15,0.01,3,로지스틱 회귀 (PCA만),28,0.8230030563549386
세포유형,15,0.01,3,레이블 전파 (그래프만),28,0.9420027073248096
세포유형,15,0.01,3,GCN (PCA + 그래프),28,0.9246506938428258
세포유형,15,0.01,4,로지스틱 회귀 (PCA만),28,0.7720212829790709
세포유형,15,0.01,4,레이블 전파 (그래프만),28,0.9093380376735448
세포유형,15,0.01,4,GCN (PCA + 그래프),28,0.9172365744497823
세포유형,15,0.05,0,로지스틱 회귀 (PCA만),133,0.8555838835446927
세포유형,15,0.05,0,레이블 전파 (그래프만),133,0.8852827697218861
세포유형,15,0.05,0,GCN (PCA + 그래프),133,0.9466481957461088
세포유형,15,0.05,1,로지스틱 회귀 (PCA만),133,0.802890574036735
세포유형,15,0.05,1,레이블 전파 (그래프만),133,0.8907791045063613
세포유형,15,0.05,1,GCN (PCA + 그래프),133,0.96706925857605
세포유형,15,0.05,2,로지스틱 회귀 (PCA만),133,0.8346314144751644
세포유형,15,0.05,2,레이블 전파 (그래프만),133,0.8791576264877896
세포유형,15,0.05,2,GCN (PCA + 그래프),133,0.9341313574669552
세포유형,15,0.05,3,로지스틱 회귀 (PCA만),133,0.8184465937608445
세포유형,15,0.05,3,레이블 전파 (그래프만),133,0.886336751356596
세포유형,15,0.05,3,GCN (PCA + 그래프),133,0.9149040133515308
